Method,Planner,Motion Profile,Map ID,Number of agents,Number of pillars,Agent speed,Drone speed,Depth variance,Flight time,Grid discovered,Agent tracked,Agent tracked time,Success,Static Collision,Dynamic Collision,Freezing,Dead Lock
LookAhead,MPC,RVO,1,10,10,40,40,0,15.9,710,4,5.824999999999999,1,0,0,0,0
LookAhead,MPC,RVO,2,10,10,40,40,0,16.3,728,3,5.333333333333333,1,0,0,0,0
LookAhead,MPC,RVO,3,10,10,40,40,0,16.900000000000002,762,4,6.7250000000000005,1,0,0,0,0
LookAhead,MPC,RVO,4,10,10,40,40,0,16.400000000000002,759,5,5.42,1,0,1,0,0
LookAhead,MPC,RVO,5,10,10,40,40,0,15.7,712,2,3.5,1,0,0,0,0
LookAhead,MPC,RVO,6,10,10,40,40,0,16.1,706,4,3.2750000000000004,1,0,0,0,0
LookAhead,MPC,RVO,7,10,10,40,40,0,17.2,747,2,8.4,1,0,0,0,0
LookAhead,MPC,RVO,8,10,10,40,40,0,16.2,717,3,6.600000000000001,1,0,0,0,0
LookAhead,MPC,RVO,9,10,10,40,40,0,15.9,723,5,5.5200000000000005,1,0,0,0,0
LookAhead,MPC,RVO,10,10,10,40,40,0,15.9,678,3,7.566666666666667,1,0,0,0,0
LookAhead,MPC,RVO,11,10,10,40,40,0,16.1,725,4,11.4,1,0,0,0,0
LookAhead,MPC,RVO,12,10,10,40,40,0,18.2,768,4,9.325,1,0,0,0,0
LookAhead,MPC,RVO,13,10,10,40,40,0,15.7,699,1,3.3000000000000003,1,0,0,0,0
LookAhead,MPC,RVO,14,10,10,40,40,0,11.8,537,4,6.4750000000000005,0,0,1,0,0
LookAhead,MPC,RVO,15,10,10,40,40,0,15.9,691,1,5.800000000000001,1,0,0,0,0
LookAhead,MPC,RVO,16,10,10,40,40,0,15.9,701,4,4.675,1,0,0,0,0
LookAhead,MPC,RVO,17,10,10,40,40,0,16.3,700,1,7.6,1,0,0,0,0
LookAhead,MPC,RVO,18,10,10,40,40,0,14.8,699,5,5.62,0,0,1,0,0
LookAhead,MPC,RVO,19,10,10,40,40,0,7.5,363,2,4.4,0,0,1,0,0
LookAhead,MPC,RVO,20,10,10,40,40,0,15.9,656,4,6.675,1,0,0,0,0
LookAhead,MPC,RVO,21,10,10,40,40,0,16.1,701,3,6.933333333333334,1,0,0,0,0
LookAhead,MPC,RVO,22,10,10,40,40,0,6.300000000000001,286,3,4.0,0,0,1,0,0
LookAhead,MPC,RVO,23,10,10,40,40,0,16.0,706,4,6.4,1,0,0,0,0
LookAhead,MPC,RVO,24,10,10,40,40,0,15.7,711,2,5.15,1,0,0,0,0
LookAhead,MPC,RVO,25,10,10,40,40,0,1.1,86,1,1.1,0,1,0,0,0
LookAhead,MPC,RVO,26,10,10,40,40,0,15.9,713,2,9.15,1,0,0,0,0
LookAhead,MPC,RVO,27,10,10,40,40,0,18.0,799,4,3.8250000000000006,1,0,0,0,0
LookAhead,MPC,RVO,28,10,10,40,40,0,17.400000000000002,784,4,5.275,1,0,0,0,0
LookAhead,MPC,RVO,29,10,10,40,40,0,15.7,718,2,4.25,1,0,0,0,0
LookAhead,MPC,RVO,0,10,10,40,60,0,14.9,789,1,6.300000000000001,1,0,0,0,0
LookAhead,MPC,RVO,1,10,10,40,60,0,11.7,705,4,5.275,1,0,0,0,0
LookAhead,MPC,RVO,2,10,10,40,60,0,12.0,706,2,5.65,1,0,0,0,0
LookAhead,MPC,RVO,3,10,10,40,60,0,11.7,693,4,5.525,1,0,0,0,0
LookAhead,MPC,RVO,4,10,10,40,60,0,4.0,264,1,1.0,0,0,1,0,0
LookAhead,MPC,RVO,5,10,10,40,60,0,11.4,710,1,7.1000000000000005,1,0,0,0,0
LookAhead,MPC,RVO,6,10,10,40,60,0,11.6,672,3,2.266666666666667,1,0,0,0,0
LookAhead,MPC,RVO,7,10,10,40,60,0,12.8,731,4,5.625,1,0,0,0,0
LookAhead,MPC,RVO,8,10,10,40,60,0,10.7,712,2,4.25,0,0,1,0,0
LookAhead,MPC,RVO,9,10,10,40,60,0,11.8,694,3,3.9333333333333336,1,0,0,0,0
LookAhead,MPC,RVO,10,10,10,40,60,0,11.6,692,1,11.6,1,0,0,0,0
LookAhead,MPC,RVO,11,10,10,40,60,0,9.5,566,4,6.325,0,0,0,0,1
LookAhead,MPC,RVO,12,10,10,40,60,0,9.9,641,5,4.78,0,0,1,0,0
LookAhead,MPC,RVO,13,10,10,40,60,0,11.4,688,2,6.75,1,0,0,0,0
LookAhead,MPC,RVO,14,10,10,40,60,0,9.2,604,4,4.875,0,0,1,0,0
LookAhead,MPC,RVO,15,10,10,40,60,0,11.7,691,0,,1,0,0,0,0
