Method,Planner,Motion Profile,Map ID,Number of agents,Number of pillars,Agent speed,Drone speed,Depth variance,Flight time,Grid discovered,Agent tracked,Agent tracked time,Success,Static Collision,Dynamic Collision,Freezing,Dead Lock,state machine
LookAhead,MPC,CVM,3,30,0,20,40,0,28.8,939,13,13.415384615384616,1,0,0,0,0,1
LookAhead,MPC,CVM,4,30,0,20,40,0,16.0,720,9,6.822222222222223,1,0,0,0,0,1
LookAhead,MPC,CVM,0,30,0,20,60,0,12.1,819,6,3.1666666666666665,1,0,0,0,0,1
LookAhead,MPC,CVM,1,30,0,20,60,0,9.8,657,6,3.4333333333333336,0,0,1,0,0,3
LookAhead,MPC,CVM,2,30,0,20,60,0,24.0,1009,12,6.066666666666666,1,0,0,0,0,1
LookAhead,MPC,CVM,3,30,0,20,60,0,10.3,683,10,2.9300000000000006,0,0,1,0,0,3
LookAhead,MPC,CVM,4,30,0,20,60,0,12.1,704,7,5.8571428571428585,1,0,0,0,0,1
LookAhead,MPC,CVM,0,30,0,40,20,0,15.0,407,9,4.777777777777778,0,0,1,0,0,3
LookAhead,MPC,CVM,1,30,0,40,20,0,18.4,496,11,5.127272727272729,0,0,1,0,0,3
LookAhead,MPC,CVM,2,30,0,40,20,0,33.300000000000004,832,22,6.05,1,0,0,0,0,1
LookAhead,MPC,CVM,3,30,0,40,20,0,36.6,825,19,8.089473684210526,1,0,0,0,0,1
LookAhead,MPC,CVM,4,30,0,40,20,0,32.9,794,21,6.8047619047619055,1,0,0,0,0,1
LookAhead,MPC,CVM,0,30,0,40,40,0,15.7,716,10,7.2,1,0,0,0,0,1
LookAhead,MPC,CVM,1,30,0,40,40,0,7.0,347,7,2.671428571428572,0,0,1,0,0,3
LookAhead,MPC,CVM,2,30,0,40,40,0,15.7,711,12,4.791666666666668,0,0,1,0,0,2
LookAhead,MPC,CVM,3,30,0,40,40,0,6.7,348,6,1.7166666666666666,0,0,1,0,0,3
LookAhead,MPC,CVM,4,30,0,40,40,0,16.2,718,9,6.211111111111112,0,0,1,0,0,3
LookAhead,MPC,CVM,0,30,0,40,60,0,3.3000000000000003,220,3,0.9666666666666668,0,0,1,0,0,3
LookAhead,MPC,CVM,1,30,0,40,60,0,4.2,265,5,1.14,0,0,1,0,0,3
LookAhead,MPC,CVM,2,30,0,40,60,0,10.6,659,9,3.688888888888889,0,0,1,0,0,3
LookAhead,MPC,CVM,3,30,0,40,60,0,5.4,368,5,1.6,0,0,1,0,0,3
LookAhead,MPC,CVM,4,30,0,40,60,0,2.7,175,1,1.2000000000000002,0,0,1,0,0,3
LookAhead,MPC,CVM,0,30,0,60,20,0,5.5,178,3,1.2666666666666666,0,0,1,0,0,3
LookAhead,MPC,CVM,1,30,0,60,20,0,9.9,274,8,3.1125,0,0,1,0,0,2
LookAhead,MPC,CVM,2,30,0,60,20,0,7.5,254,8,2.5,0,0,1,0,0,2
LookAhead,MPC,CVM,3,30,0,60,20,0,7.9,236,5,2.94,0,0,1,0,0,3
LookAhead,MPC,CVM,4,30,0,60,20,0,10.8,300,10,2.58,0,0,1,0,0,3
LookAhead,MPC,CVM,0,30,0,60,40,0,20.0,925,20,4.525,0,0,1,0,0,3
LookAhead,MPC,CVM,1,30,0,60,40,0,10.6,498,9,3.577777777777777,0,0,1,0,0,3
LookAhead,MPC,CVM,2,30,0,60,40,0,1.7000000000000002,112,1,1.1,0,0,1,0,0,3
LookAhead,MPC,CVM,3,30,0,60,40,0,16.400000000000002,762,9,5.144444444444444,1,0,0,0,0,1
LookAhead,MPC,CVM,4,30,0,60,40,0,16.1,724,7,4.557142857142858,1,0,0,0,0,1
LookAhead,MPC,CVM,0,30,0,60,60,0,11.6,711,11,4.5,1,0,0,0,0,1
LookAhead,MPC,CVM,1,30,0,60,60,0,3.3000000000000003,215,3,1.0000000000000002,0,0,1,0,0,3
LookAhead,MPC,CVM,2,30,0,60,60,0,10.5,689,10,2.75,0,0,1,0,0,3
LookAhead,MPC,CVM,3,30,0,60,60,0,5.7,374,4,2.25,0,0,1,0,0,3
LookAhead,MPC,CVM,4,30,0,60,60,0,10.3,691,9,3.766666666666668,0,0,1,0,0,3
LookAhead,MPC,CVM,0,10,0,20,20,2,31.3,770,3,7.4333333333333345,1,0,0,0,0,1
LookAhead,MPC,CVM,1,10,0,20,20,2,31.0,726,4,8.500000000000002,1,0,0,0,0,1
LookAhead,MPC,CVM,2,10,0,20,20,2,34.7,830,6,6.333333333333333,1,0,0,0,0,1
LookAhead,MPC,CVM,3,10,0,20,20,2,30.6,757,8,8.1375,1,0,0,0,0,1
LookAhead,MPC,CVM,4,10,0,20,20,2,29.5,717,1,3.7,1,0,0,0,0,1
LookAhead,MPC,CVM,0,10,0,20,40,2,15.7,716,2,6.9,1,0,0,0,0,1
LookAhead,MPC,CVM,1,10,0,20,40,2,23.1,912,7,9.057142857142855,1,0,0,0,0,1
LookAhead,MPC,CVM,2,10,0,20,40,2,17.2,826,4,6.000000000000001,1,0,0,0,0,1
LookAhead,MPC,CVM,3,10,0,20,40,2,21.5,891,1,8.6,1,0,0,0,0,1
LookAhead,MPC,CVM,4,10,0,20,40,2,15.8,717,2,4.9,1,0,0,0,0,1
LookAhead,MPC,CVM,0,10,0,20,60,2,23.5,912,8,5.3625,1,0,0,0,0,1
LookAhead,MPC,CVM,1,10,0,20,60,2,16.2,910,2,5.25,1,0,0,0,0,1
LookAhead,MPC,CVM,2,10,0,20,60,2,12.4,742,4,4.675,1,0,0,0,0,1
LookAhead,MPC,CVM,3,10,0,20,60,2,12.5,760,1,6.5,1,0,0,0,0,1
LookAhead,MPC,CVM,4,10,0,20,60,2,13.6,813,3,6.033333333333334,1,0,0,0,0,1
LookAhead,MPC,CVM,0,10,0,40,20,2,29.9,696,5,5.8,1,0,0,0,0,1
LookAhead,MPC,CVM,1,10,0,40,20,2,29.700000000000003,699,8,6.8125,1,0,0,0,0,1
LookAhead,MPC,CVM,2,10,0,40,20,2,24.200000000000003,628,4,7.050000000000001,0,0,1,0,0,3
LookAhead,MPC,CVM,3,10,0,40,20,2,27.4,716,4,6.6000000000000005,0,0,1,0,0,3
LookAhead,MPC,CVM,4,10,0,40,20,2,34.300000000000004,855,9,6.5777777777777775,1,0,0,0,0,1
LookAhead,MPC,CVM,0,10,0,40,40,2,17.3,775,4,5.475,1,0,0,0,0,1
LookAhead,MPC,CVM,1,10,0,40,40,2,16.6,739,4,6.075,1,0,0,0,0,1
LookAhead,MPC,CVM,2,10,0,40,40,2,18.2,816,5,5.220000000000001,1,0,0,0,0,1
LookAhead,MPC,CVM,3,10,0,40,40,2,16.0,705,8,6.0375,1,0,0,0,0,1
LookAhead,MPC,CVM,4,10,0,40,40,2,15.7,717,2,3.45,1,0,0,0,0,1
LookAhead,MPC,CVM,0,10,0,40,60,2,12.2,724,3,3.833333333333334,1,0,0,0,0,1
LookAhead,MPC,CVM,1,10,0,40,60,2,6.9,469,4,2.6499999999999995,0,0,1,0,0,3
LookAhead,MPC,CVM,2,10,0,40,60,2,11.7,711,3,5.300000000000001,1,0,0,0,0,1
LookAhead,MPC,CVM,3,10,0,40,60,2,5.6000000000000005,360,5,2.08,0,0,1,0,0,3
LookAhead,MPC,CVM,4,10,0,40,60,2,11.4,716,2,3.4000000000000004,1,0,0,0,0,1
LookAhead,MPC,CVM,0,10,0,60,20,2,11.4,315,3,2.5333333333333337,0,0,1,0,0,2
LookAhead,MPC,CVM,1,10,0,60,20,2,9.0,265,4,2.275,0,0,1,0,0,3
LookAhead,MPC,CVM,2,10,0,60,20,2,29.8,703,7,4.428571428571429,0,0,1,0,0,3
LookAhead,MPC,CVM,3,10,0,60,20,2,19.700000000000003,509,7,4.814285714285714,0,0,1,0,0,3
LookAhead,MPC,CVM,4,10,0,60,20,2,31.8,776,6,4.883333333333334,1,0,0,0,0,1
LookAhead,MPC,CVM,0,10,0,60,40,2,16.2,713,5,4.880000000000001,1,0,0,0,0,1
LookAhead,MPC,CVM,1,10,0,60,40,2,15.6,716,4,5.15,0,0,1,0,0,3
LookAhead,MPC,CVM,2,10,0,60,40,2,16.0,724,4,4.950000000000001,1,0,0,0,0,1
LookAhead,MPC,CVM,3,10,0,60,40,2,16.0,723,4,5.575,1,0,0,0,0,1
LookAhead,MPC,CVM,4,10,0,60,40,2,7.1000000000000005,367,3,2.866666666666667,0,0,1,0,0,3
LookAhead,MPC,CVM,0,10,0,60,60,2,2.4000000000000004,153,1,0.8,0,0,1,0,0,3
LookAhead,MPC,CVM,1,10,0,60,60,2,11.8,691,4,5.125,1,0,0,0,0,1
LookAhead,MPC,CVM,2,10,0,60,60,2,5.5,374,1,0.7000000000000001,0,0,1,0,0,3
LookAhead,MPC,CVM,3,10,0,60,60,2,11.6,700,7,4.957142857142857,1,0,0,0,0,1
LookAhead,MPC,CVM,4,10,0,60,60,2,11.6,715,3,3.8333333333333335,1,0,0,0,0,1
LookAhead,MPC,CVM,0,20,0,20,20,2,34.5,877,8,7.55,1,0,0,0,0,1
LookAhead,MPC,CVM,1,20,0,20,20,2,30.4,740,8,8.0625,1,0,0,0,0,1
LookAhead,MPC,CVM,2,20,0,20,20,2,35.2,811,10,8.59,1,0,0,0,0,1
LookAhead,MPC,CVM,3,20,0,20,20,2,32.4,785,7,7.02857142857143,1,0,0,0,0,1
LookAhead,MPC,CVM,4,20,0,20,20,2,33.2,785,9,6.866666666666667,1,0,0,0,0,1
LookAhead,MPC,CVM,0,20,0,20,40,2,18.8,798,7,6.314285714285714,1,0,0,0,0,1
LookAhead,MPC,CVM,1,20,0,20,40,2,17.5,748,8,6.1,1,0,0,0,0,1
LookAhead,MPC,CVM,2,20,0,20,40,2,15.7,716,5,4.340000000000001,1,0,0,0,0,1
LookAhead,MPC,CVM,3,20,0,20,40,2,19.3,826,10,6.81,0,0,1,0,0,3
LookAhead,MPC,CVM,4,20,0,20,40,2,14.8,687,8,4.6,0,0,1,0,0,3
LookAhead,MPC,CVM,0,20,0,20,60,2,17.3,779,9,6.355555555555556,1,0,0,0,0,1
LookAhead,MPC,CVM,1,20,0,20,60,2,11.7,699,5,4.58,1,0,0,0,0,1
LookAhead,MPC,CVM,2,20,0,20,60,2,7.5,501,2,2.6,0,0,1,0,0,3
LookAhead,MPC,CVM,3,20,0,20,60,2,11.7,707,4,4.7250000000000005,1,0,0,0,0,1
LookAhead,MPC,CVM,4,20,0,20,60,2,13.3,804,5,3.960000000000001,1,0,0,0,0,1
LookAhead,MPC,CVM,0,20,0,40,20,2,22.6,604,9,5.800000000000001,0,0,1,0,0,3
LookAhead,MPC,CVM,1,20,0,40,20,2,31.200000000000003,744,11,5.563636363636364,0,0,1,0,0,3
LookAhead,MPC,CVM,2,20,0,40,20,2,5.1000000000000005,171,1,4.3,0,0,1,0,0,3
LookAhead,MPC,CVM,3,20,0,40,20,2,15.8,430,6,4.616666666666667,0,0,1,0,0,3
LookAhead,MPC,CVM,4,20,0,40,20,2,33.800000000000004,835,12,7.316666666666667,1,0,0,0,0,1
LookAhead,MPC,CVM,0,20,0,40,40,2,18.2,804,6,6.433333333333334,1,0,0,0,0,1
LookAhead,MPC,CVM,1,20,0,40,40,2,13.5,664,7,5.057142857142857,0,0,1,0,0,3
LookAhead,MPC,CVM,2,20,0,40,40,2,15.6,741,9,5.266666666666667,0,0,1,0,0,3
LookAhead,MPC,CVM,3,20,0,40,40,2,17.1,751,8,5.8875,1,0,0,0,0,1
LookAhead,MPC,CVM,4,20,0,40,40,2,17.1,766,9,5.133333333333334,1,0,0,0,0,1
LookAhead,MPC,CVM,0,20,0,40,60,2,3.2,202,1,1.2000000000000002,0,0,1,0,0,3
LookAhead,MPC,CVM,1,20,0,40,60,2,11.8,711,9,4.788888888888889,1,0,0,0,0,1
LookAhead,MPC,CVM,2,20,0,40,60,2,12.3,655,6,4.033333333333334,0,0,1,0,0,3
LookAhead,MPC,CVM,3,20,0,40,60,2,10.4,711,9,4.811111111111112,0,0,1,0,0,3
LookAhead,MPC,CVM,4,20,0,40,60,2,12.0,690,8,3.9,0,0,1,0,0,3
LookAhead,MPC,CVM,0,20,0,60,20,2,22.0,559,10,4.750000000000001,0,0,1,0,0,3
LookAhead,MPC,CVM,1,20,0,60,20,2,13.1,353,3,5.233333333333334,0,0,1,0,0,3
LookAhead,MPC,CVM,2,20,0,60,20,2,4.4,142,2,2.2,0,0,1,0,0,3
LookAhead,MPC,CVM,3,20,0,60,20,2,15.4,415,5,4.460000000000001,0,0,1,0,0,3
LookAhead,MPC,CVM,4,20,0,60,20,2,3.4000000000000004,124,2,1.05,0,0,1,0,0,2
LookAhead,MPC,CVM,0,20,0,60,40,2,5.2,274,4,1.6750000000000005,0,0,1,0,0,3
LookAhead,MPC,CVM,1,20,0,60,40,2,16.400000000000002,747,8,4.5,1,0,0,0,0,1
LookAhead,MPC,CVM,2,20,0,60,40,2,4.0,219,1,3.4000000000000004,0,0,1,0,0,3
LookAhead,MPC,CVM,3,20,0,60,40,2,16.2,729,5,5.140000000000001,1,0,0,0,0,1
LookAhead,MPC,CVM,4,20,0,60,40,2,6.300000000000001,310,4,2.2,0,0,1,0,0,3
LookAhead,MPC,CVM,0,20,0,60,60,2,3.7,249,2,1.4,0,0,1,0,0,3
LookAhead,MPC,CVM,1,20,0,60,60,2,9.3,633,6,3.883333333333333,0,0,1,0,0,3
LookAhead,MPC,CVM,2,20,0,60,60,2,10.7,716,8,3.5875000000000004,0,0,1,0,0,3
LookAhead,MPC,CVM,3,20,0,60,60,2,11.9,704,8,4.7625,1,0,0,0,0,1
LookAhead,MPC,CVM,4,20,0,60,60,2,4.9,319,3,1.6000000000000003,0,0,1,0,0,3
LookAhead,MPC,CVM,0,30,0,20,20,2,29.8,693,11,8.027272727272727,1,0,0,0,0,1
LookAhead,MPC,CVM,1,30,0,20,20,2,35.6,870,11,8.272727272727272,1,0,0,0,0,1
LookAhead,MPC,CVM,2,30,0,20,20,2,38.900000000000006,872,16,7.543749999999999,1,0,0,0,0,1
LookAhead,MPC,CVM,3,30,0,20,20,2,33.2,806,10,7.220000000000001,1,0,0,0,0,1
LookAhead,MPC,CVM,4,30,0,20,20,2,30.700000000000003,764,10,7.0200000000000005,0,0,1,0,0,3
LookAhead,MPC,CVM,0,30,0,20,40,2,20.0,813,16,7.125,1,0,0,0,0,1
LookAhead,MPC,CVM,1,30,0,20,40,2,19.700000000000003,845,16,6.1,1,0,0,0,0,1
LookAhead,MPC,CVM,2,30,0,20,40,2,21.6,890,11,5.263636363636365,0,0,1,0,0,3
LookAhead,MPC,CVM,3,30,0,20,40,2,18.6,849,13,4.776923076923078,1,0,0,0,0,1
LookAhead,MPC,CVM,4,30,0,20,40,2,16.0,722,9,6.044444444444445,1,0,0,0,0,1
LookAhead,MPC,CVM,0,30,0,20,60,2,13.1,777,6,3.9166666666666665,1,0,0,0,0,1
LookAhead,MPC,CVM,1,30,0,20,60,2,9.8,655,6,3.266666666666667,0,0,1,0,0,3
LookAhead,MPC,CVM,2,30,0,20,60,2,16.8,847,6,4.066666666666667,1,0,0,0,0,1
LookAhead,MPC,CVM,3,30,0,20,60,2,12.4,755,9,4.377777777777778,1,0,0,0,0,1
LookAhead,MPC,CVM,4,30,0,20,60,2,12.0,715,7,5.5857142857142845,1,0,0,0,0,1
LookAhead,MPC,CVM,0,30,0,40,20,2,15.0,391,9,4.955555555555557,0,0,1,0,0,2
LookAhead,MPC,CVM,1,30,0,40,20,2,34.0,803,25,6.308,1,0,0,0,0,1
LookAhead,MPC,CVM,2,30,0,40,20,2,6.5,223,4,1.6250000000000002,0,0,1,0,0,3
LookAhead,MPC,CVM,3,30,0,40,20,2,35.7,870,17,7.088235294117647,1,0,0,0,0,1
LookAhead,MPC,CVM,4,30,0,40,20,2,33.0,798,20,6.335000000000002,1,0,0,0,0,1
LookAhead,MPC,CVM,0,30,0,40,40,2,15.8,701,10,6.04,1,0,0,0,0,1
LookAhead,MPC,CVM,1,30,0,40,40,2,4.6000000000000005,238,4,1.4,0,0,1,0,0,3
LookAhead,MPC,CVM,2,30,0,40,40,2,15.7,704,12,4.466666666666666,0,0,1,0,0,3
LookAhead,MPC,CVM,3,30,0,40,40,2,17.7,747,12,4.775,0,1,0,0,0,3
LookAhead,MPC,CVM,4,30,0,40,40,2,16.0,719,8,5.9,0,0,1,0,0,3
LookAhead,MPC,CVM,0,30,0,40,60,2,7.9,532,13,2.707692307692308,0,0,1,0,0,3
LookAhead,MPC,CVM,1,30,0,40,60,2,7.9,380,7,3.771428571428572,0,0,1,0,0,3
LookAhead,MPC,CVM,2,30,0,40,60,2,10.6,695,11,3.9090909090909096,0,0,1,0,0,2
LookAhead,MPC,CVM,3,30,0,40,60,2,9.1,580,8,3.7375,0,0,1,0,0,3
