Method,Planner,Motion Profile,Map ID,Number of agents,Number of pillars,Agent speed,Drone speed,Depth variance,Flight time,Grid discovered,Agent tracked,Agent tracked time,Success,Static Collision,Dynamic Collision,Freezing,Dead Lock
LookAhead,Primitive,RVO,16,10,10,20,60,0,12.6,699,6,6.483333333333333,1,0,0,0,0
LookAhead,Primitive,RVO,17,10,10,20,60,0,13.1,703,3,5.2,1,0,0,0,0
LookAhead,Primitive,RVO,18,10,10,20,60,0,13.4,740,5,7.56,1,0,0,0,0
LookAhead,Primitive,RVO,19,10,10,20,60,0,12.1,687,3,7.766666666666668,1,0,0,0,0
LookAhead,Primitive,RVO,20,10,10,20,60,0,11.7,680,3,6.6000000000000005,1,0,0,0,0
LookAhead,Primitive,RVO,21,10,10,20,60,0,12.7,688,0,,1,0,0,0,0
LookAhead,Primitive,RVO,22,10,10,20,60,0,13.9,719,2,10.85,1,0,0,0,0
LookAhead,Primitive,RVO,23,10,10,20,60,0,15.5,751,3,6.333333333333333,1,0,0,0,0
LookAhead,Primitive,RVO,24,10,10,20,60,0,12.7,711,5,8.040000000000001,1,0,0,0,0
LookAhead,Primitive,RVO,25,10,10,20,60,0,12.7,682,4,6.95,1,0,0,0,0
LookAhead,Primitive,RVO,26,10,10,20,60,0,15.3,677,4,8.55,1,0,0,0,0
LookAhead,Primitive,RVO,27,10,10,20,60,0,14.1,792,2,9.0,1,0,0,0,0
LookAhead,Primitive,RVO,28,10,10,20,60,0,12.9,692,2,7.85,1,0,0,0,0
LookAhead,Primitive,RVO,29,10,10,20,60,0,11.7,706,1,9.1,1,0,0,0,0
LookAhead,Primitive,RVO,30,10,10,20,60,0,13.1,725,3,5.433333333333334,1,0,0,0,0
LookAhead,Primitive,RVO,31,10,10,20,60,0,14.6,795,2,9.25,1,0,0,0,0
LookAhead,Primitive,RVO,32,10,10,20,60,0,11.7,693,0,,1,0,0,0,0
LookAhead,Primitive,RVO,33,10,10,20,60,0,11.6,689,2,5.300000000000001,1,0,0,0,0
LookAhead,Primitive,RVO,34,10,10,20,60,0,13.8,744,4,10.4,1,0,0,0,0
LookAhead,Primitive,RVO,35,10,10,20,60,0,17.0,802,5,8.68,1,0,0,0,0
LookAhead,Primitive,RVO,36,10,10,20,60,0,0.9,66,1,0.6000000000000001,0,0,1,0,0
LookAhead,Primitive,RVO,37,10,10,20,60,0,14.7,721,5,5.7,1,0,0,0,0
LookAhead,Primitive,RVO,38,10,10,20,60,0,0.2,33,1,0.2,0,0,1,0,0
LookAhead,Primitive,RVO,39,10,10,20,60,0,16.0,823,6,7.833333333333333,1,0,0,0,0
LookAhead,Primitive,RVO,40,10,10,20,60,0,12.5,692,3,7.033333333333334,1,0,0,0,0
LookAhead,Primitive,RVO,41,10,10,20,60,0,14.1,704,3,8.566666666666668,1,0,0,0,0
LookAhead,Primitive,RVO,42,10,10,20,60,0,12.2,690,1,8.0,1,0,0,0,0
LookAhead,Primitive,RVO,43,10,10,20,60,0,12.9,742,3,5.566666666666667,1,0,0,0,0
LookAhead,Primitive,RVO,44,10,10,20,60,0,14.9,781,3,3.833333333333334,1,0,0,0,0
LookAhead,Primitive,RVO,45,10,10,20,60,0,11.4,674,3,5.533333333333334,1,0,0,0,0
LookAhead,Primitive,RVO,46,10,10,20,60,0,13.7,744,5,7.279999999999999,1,0,0,0,0
LookAhead,Primitive,RVO,47,10,10,20,60,0,14.7,744,4,8.825,1,0,0,0,0
LookAhead,Primitive,RVO,48,10,10,20,60,0,15.7,803,4,8.875,1,0,0,0,0
LookAhead,Primitive,RVO,49,10,10,20,60,0,12.2,717,4,7.4,1,0,0,0,0
LookAhead,Primitive,RVO,50,10,10,20,60,0,12.9,711,5,6.860000000000001,1,0,0,0,0
LookAhead,Primitive,RVO,51,10,10,20,60,0,16.1,779,4,10.475,1,0,0,0,0
LookAhead,Primitive,RVO,52,10,10,20,60,0,12.0,716,3,6.533333333333334,1,0,0,0,0
LookAhead,Primitive,RVO,53,10,10,20,60,0,17.5,732,3,8.166666666666666,1,0,0,0,0
LookAhead,Primitive,RVO,54,10,10,20,60,0,17.1,791,3,11.766666666666667,1,0,0,0,0
