,Method,Planner,depth var,Number of agents,Number of pillars,Agent speed,Drone speed,Depth variance,Total samples,Success,Static Collision,Dynamic Collision,Dead Lock,Success rate,Tracked agents,Tracked time,velocity ratio
120,LookAhead,Primitive,0,20,0,40,40.0,0,8640,2390,7,3967,2276,0.5400462962962963,36000,133561.2,1.0
121,LookAhead,Jerk_Primitive,0,20,0,40,40.0,0,8640,6325,16,2281,18,0.7341435185185186,36443,128289.90000000001,1.0
122,LookAhead,MPC,0,20,0,40,40.0,0,4320,2044,0,2180,96,0.49537037037037035,16260,55564.2,1.0
123,LookAhead,Primitive,0,20,0,60,40.0,0,8640,784,2,6485,1369,0.2491898148148148,29546,68417.20000000001,1.5
124,LookAhead,Jerk_Primitive,0,20,0,60,40.0,0,8640,4403,14,4212,11,0.5108796296296296,35289,95159.00000000001,1.5
125,LookAhead,MPC,0,20,0,60,40.0,0,4320,1155,0,3116,49,0.27870370370370373,14545,34012.0,1.5
126,LookAhead,Primitive,0,20,0,20,60.0,0,8640,6639,50,1491,460,0.8216435185185185,37530,173578.10000000003,0.33
127,LookAhead,Jerk_Primitive,0,20,0,20,60.0,0,8640,7765,15,857,3,0.899074074074074,34181,117782.10000000002,0.33
128,LookAhead,MPC,0,20,0,20,60.0,0,4320,2019,12,2111,178,0.5085648148148149,14333,52977.3,0.33
129,LookAhead,Primitive,0,20,0,40,60.0,0,8640,3819,32,4289,500,0.4998842592592593,31308,93257.40000000001,0.67
130,LookAhead,Jerk_Primitive,0,20,0,40,60.0,0,8640,6978,13,1642,7,0.8084490740740741,33430,95852.20000000001,0.67
131,LookAhead,MPC,0,20,0,40,60.0,0,4320,1569,5,2654,92,0.38449074074074074,13217,32222.399999999998,0.67
132,LookAhead,Primitive,0,20,0,60,60.0,0,8640,2236,38,6070,296,0.29305555555555557,27368,58227.100000000006,1.0
133,LookAhead,Jerk_Primitive,0,20,0,60,60.0,0,8640,5684,14,2939,3,0.6582175925925926,32449,76890.8,1.0
134,LookAhead,MPC,0,20,0,60,60.0,0,4320,1229,3,3035,53,0.2967592592592593,12697,24923.100000000002,1.0
135,LookAhead,Primitive,0,30,0,20,20.0,0,8640,4217,1,3387,1035,0.6078703703703704,60151,422651.89999999997,1.0
136,LookAhead,Jerk_Primitive,0,30,0,20,20.0,0,8640,5288,0,2824,528,0.6731481481481482,60041,398703.3,1.0
