,Method,Planner,Number of agents,Number of pillars,Agent speed,Drone speed,Total samples,Success,Static collision,Dynamic collision,Area covered per step,Agent tracked per step,Agent tracking time
150,Rotating,Primitive,15,5,30,40,84,48,4,32,3.160719670318625,2.583174188360639,8.728929499330048
151,Rotating,Primitive,15,5,40,20,57,24,0,33,1.9658895953173883,2.3715813906549603,10.303286430341545
152,Rotating,Primitive,15,5,40,30,70,33,0,37,2.566009408467621,3.1628465619057153,9.067855402673183
153,Rotating,Primitive,15,5,40,40,77,40,5,33,3.071078186004605,2.803083391730904,8.23596097355026
154,Rotating,Primitive,15,10,20,20,84,73,0,11,2.085328047974793,2.429232098388982,22.308757613074544
155,Rotating,Primitive,15,10,20,30,81,71,0,10,2.8271461716937356,2.9889449979527773,27.04633982878246
156,Rotating,Primitive,15,10,20,40,59,56,1,2,3.271763280145425,4.100181781458291,28.841846594505324
157,Rotating,Primitive,15,10,30,20,45,33,0,12,2.0238388820386355,4.572544184134813,39.99457322048584
158,Rotating,Primitive,15,10,30,30,50,44,0,6,2.631526305261052,3.330666133226645,30.48042443407648
159,Rotating,Primitive,15,10,30,40,57,52,0,5,3.1197640707787664,3.1590522843147055,29.05870688004936
160,Rotating,Primitive,15,10,40,20,48,33,0,15,1.9002129601460298,3.5493357671635737,26.964125488814975
161,Rotating,Primitive,15,10,40,30,53,39,0,14,2.5647496480997387,3.820631409611904,25.12274874752843
162,Rotating,Primitive,15,10,40,40,56,40,0,16,2.6785321467853214,3.6296370362963706,23.56979653433952
163,NoControl,Primitive,5,0,20,20,84,84,0,0,2.2293638010871755,0.8757801489832897,44.86345982566531
164,NoControl,Primitive,5,0,20,30,113,111,0,2,3.0140894681225783,1.0315503446887737,41.23064914078049
165,NoControl,Primitive,5,0,20,40,126,125,0,1,3.5231160540621413,1.2368460425913919,38.17412109039135
166,NoControl,Primitive,5,0,30,20,82,80,0,2,2.2119559779889943,1.6558279139569785,41.743693978858026
167,NoControl,Primitive,5,0,30,30,110,108,0,2,2.898394655499053,1.1865589789610131,33.84551406326573
168,NoControl,Primitive,5,0,30,40,128,126,0,2,3.5342240390847,1.3859115608953587,31.625908843071773
169,NoControl,Primitive,5,0,40,20,84,78,0,6,2.1477633768722577,1.4171163447475918,28.30815677014298
170,NoControl,Primitive,5,0,40,30,105,102,0,3,2.7814459049544995,1.3599595551061678,27.68446484109043
171,NoControl,Primitive,5,0,40,40,121,114,0,7,3.4473432384789726,1.7275245530093175,31.614574998413808
172,NoControl,Primitive,5,5,20,20,86,85,0,1,2.2364628165348814,1.0009008107296566,42.15560461049863
173,NoControl,Primitive,5,5,20,30,111,110,0,1,2.90726313144006,1.0052777079668258,43.3637766152746
174,NoControl,Primitive,5,5,20,40,127,127,0,0,3.4816342960652107,1.3937808191607124,38.09724025977819
175,NoControl,Primitive,5,5,30,20,83,80,0,3,2.2223844527237944,1.2133722686537105,36.7965386505414
176,NoControl,Primitive,5,5,30,30,107,105,0,2,2.9022389937106916,1.1974842767295597,36.337834947577214
177,NoControl,Primitive,5,5,30,40,128,128,0,0,3.556203792184278,1.2171201528944324,29.80962537525151
178,NoControl,Primitive,5,5,40,20,82,76,1,5,2.2094159113796574,1.3746223564954683,29.04337248439186
179,NoControl,Primitive,5,5,40,30,109,105,0,4,2.8527549239591123,1.5756669159810521,29.401144868586545
180,NoControl,Primitive,5,5,40,40,123,119,0,4,3.435453859693236,1.4935881317576063,25.639980539500925
181,NoControl,Primitive,5,10,20,20,85,83,0,2,2.2654898588842243,0.9862930554853068,44.278045577604395
182,NoControl,Primitive,5,10,20,30,104,104,0,0,2.8120349889402774,0.9601849989945707,40.41465478921003
183,NoControl,Primitive,5,10,20,40,123,123,0,0,3.3691161022460108,1.1555199839927968,36.678390392645184
184,NoControl,Primitive,5,10,30,20,81,79,1,1,2.2321862348178136,1.04251012145749,35.121880836270755
185,NoControl,Primitive,5,10,30,30,106,104,0,2,2.8829519104748464,1.5878616796047988,39.54197080822726
186,NoControl,Primitive,5,10,30,40,123,121,0,2,3.3298247381144237,1.1885576148267527,32.75246188601684
187,NoControl,Primitive,5,10,40,20,83,77,0,6,2.210993530267315,1.369175986759617,31.24695544341103
188,NoControl,Primitive,5,10,40,30,105,101,0,4,2.8221270161290324,1.4213709677419355,29.52005415786623
189,NoControl,Primitive,5,10,40,40,123,116,0,7,3.3248276209170062,1.595450198802154,28.870059034515407
190,NoControl,Primitive,10,0,20,20,84,83,0,1,2.1731891348088532,1.7203219315895373,41.83052377430527
191,NoControl,Primitive,10,0,20,30,108,108,0,0,2.8667642013923924,1.785894460700232,41.28610089165544
192,NoControl,Primitive,10,0,20,40,125,122,0,3,3.4414242728184554,2.3269809428284853,35.326035844220634
193,NoControl,Primitive,10,0,30,20,76,70,0,6,2.060110406869761,2.167245961970967,34.58004908938123
194,NoControl,Primitive,10,0,30,30,107,102,0,5,2.911857450322839,2.177286150457981,32.8278240954009
195,NoControl,Primitive,10,0,30,40,118,112,0,6,3.254383313180169,2.388149939540508,28.75162368659606
196,NoControl,Primitive,10,0,40,20,71,60,0,11,1.9568264932954085,2.458350264120276,28.099570803427877
197,NoControl,Primitive,10,0,40,30,96,86,0,10,2.5405760485093483,2.511369378473977,29.273480102447092
198,NoControl,Primitive,10,0,40,40,119,103,0,16,3.246525679758308,2.5881168177240683,25.8659626381995
199,NoControl,Primitive,10,5,20,20,83,81,0,2,2.1826506994062593,1.9221092885176612,41.48427666183601
200,NoControl,Primitive,10,5,20,30,105,105,0,0,2.7591405389161574,2.379044375438245,39.523727490746346
201,NoControl,Primitive,10,5,20,40,124,122,0,2,3.4521987092901094,2.211216168892891,35.29841778887094
202,NoControl,Primitive,10,5,30,20,77,73,0,4,2.0400624874017335,2.1265873815762952,37.418269291175875
203,NoControl,Primitive,10,5,30,30,99,91,0,8,2.6771792163372066,2.8368794326241136,31.314135375372913
204,NoControl,Primitive,10,5,30,40,115,109,0,6,3.14344364892605,2.7286837230260854,30.380163448650286
205,NoControl,Primitive,10,5,40,20,77,64,0,13,2.033713007220584,2.745855791721753,28.69354971466433
206,NoControl,Primitive,10,5,40,30,103,90,0,13,2.5840872537193404,2.658825894652191,26.601248267101056
207,NoControl,Primitive,10,5,40,40,125,107,0,18,3.398713179853222,3.111490901779431,26.457726361544122
208,NoControl,Primitive,10,10,20,20,81,79,0,2,2.2003676470588234,1.536968954248366,41.93374498316093
209,NoControl,Primitive,10,10,20,30,109,105,0,4,2.80024013207264,2.271249187052879,40.963478754605816
210,NoControl,Primitive,10,10,20,40,125,121,0,4,3.4048974656119313,2.438655716229153,32.21220731752954
211,NoControl,Primitive,10,10,30,20,82,74,0,8,2.0953863427579873,3.0672654894355413,39.625604208535925
212,NoControl,Primitive,10,10,30,30,106,100,0,6,2.772096054544543,2.6570411590715395,33.0801750803949
213,NoControl,Primitive,10,10,30,40,114,111,0,3,3.052930339092765,2.614151272220286,31.017347480277518
