Method,Planner,Motion Profile,Map ID,Number of agents,Number of pillars,Agent speed,Drone speed,Depth variance,Flight time,Grid discovered,Agent tracked,Agent tracked time,Success,Static Collision,Dynamic Collision,Freezing,Dead Lock,state machine
LookAhead,Primitive,CVM,4,10,10,20,40,2,27.1,782,5,9.34,1,0,0,0,0,1
LookAhead,Primitive,CVM,0,10,10,20,60,2,13.3,675,4,5.625,1,0,0,0,0,1
LookAhead,Primitive,CVM,1,10,10,20,60,2,20.4,946,4,5.875,1,0,0,0,0,1
LookAhead,Primitive,CVM,2,10,10,20,60,2,8.700000000000001,483,3,3.4666666666666672,0,1,0,0,0,3
LookAhead,Primitive,CVM,3,10,10,20,60,2,14.4,794,4,3.575,0,0,1,0,0,2
LookAhead,Primitive,CVM,4,10,10,20,60,2,5.4,312,1,1.3,0,0,1,0,0,2
LookAhead,Primitive,CVM,0,10,10,40,20,2,16.3,313,1,1.4,0,1,0,0,0,3
LookAhead,Primitive,CVM,1,10,10,40,20,2,31.3,626,5,4.94,0,0,1,0,0,2
LookAhead,Primitive,CVM,2,10,10,40,20,2,40.5,825,10,7.140000000000001,1,0,0,0,0,1
LookAhead,Primitive,CVM,3,10,10,40,20,2,13.4,279,2,2.6,0,0,0,0,1,2
LookAhead,Primitive,CVM,4,10,10,40,20,2,13.2,289,0,,0,0,1,0,0,3
LookAhead,Primitive,CVM,0,10,10,40,40,2,10.9,399,1,0.2,0,0,1,0,0,3
LookAhead,Primitive,CVM,1,10,10,40,40,2,23.700000000000003,778,4,4.975,0,0,1,0,0,2
LookAhead,Primitive,CVM,2,10,10,40,40,2,7.300000000000001,264,2,3.0500000000000003,0,1,0,0,0,3
LookAhead,Primitive,CVM,3,10,10,40,40,2,23.6,764,3,6.433333333333334,1,0,0,0,0,1
LookAhead,Primitive,CVM,4,10,10,40,40,2,20.0,675,4,3.175,0,0,1,0,0,2
LookAhead,Primitive,CVM,0,10,10,40,60,2,11.8,711,4,3.575,1,0,0,0,0,1
LookAhead,Primitive,CVM,1,10,10,40,60,2,7.800000000000001,484,3,2.5000000000000004,0,0,1,0,0,2
LookAhead,Primitive,CVM,2,10,10,40,60,2,5.300000000000001,245,3,2.1,0,1,0,0,0,3
LookAhead,Primitive,CVM,3,10,10,40,60,2,6.9,422,2,2.45,0,0,1,0,0,2
LookAhead,Primitive,CVM,4,10,10,40,60,2,15.4,740,4,6.15,1,0,0,0,0,1
LookAhead,Primitive,CVM,0,10,10,60,20,2,16.8,320,3,2.766666666666667,0,1,0,0,0,3
LookAhead,Primitive,CVM,1,10,10,60,20,2,41.5,796,11,4.336363636363637,0,0,0,0,1,2
LookAhead,Primitive,CVM,2,10,10,60,20,2,10.9,231,2,2.2,0,0,1,0,0,3
LookAhead,Primitive,CVM,3,10,10,60,20,2,41.0,756,11,4.7,0,0,1,0,0,2
LookAhead,Primitive,CVM,4,10,10,60,20,2,21.9,432,4,4.525,0,1,0,0,0,3
LookAhead,Primitive,CVM,0,10,10,60,40,2,15.2,524,3,3.8000000000000007,0,0,1,0,0,3
LookAhead,Primitive,CVM,1,10,10,60,40,2,11.9,442,2,3.6,0,0,1,0,0,2
LookAhead,Primitive,CVM,2,10,10,60,40,2,7.300000000000001,264,0,,0,1,0,0,0,3
LookAhead,Primitive,CVM,3,10,10,60,40,2,23.5,728,3,4.5,1,0,0,0,0,1
LookAhead,Primitive,CVM,4,10,10,60,40,2,15.5,541,3,3.7000000000000006,0,0,1,0,0,2
LookAhead,Primitive,CVM,0,10,10,60,60,2,12.8,727,3,2.5,1,0,0,0,0,1
LookAhead,Primitive,CVM,1,10,10,60,60,2,5.5,344,1,0.8,0,0,1,0,0,3
LookAhead,Primitive,CVM,2,10,10,60,60,2,8.700000000000001,486,5,4.300000000000001,0,1,0,0,0,3
LookAhead,Primitive,CVM,3,10,10,60,60,2,6.800000000000001,415,2,1.4,0,0,1,0,0,2
LookAhead,Primitive,CVM,4,10,10,60,60,2,15.3,790,5,3.38,0,0,1,0,0,2
LookAhead,Primitive,CVM,0,20,10,20,20,2,17.5,335,3,3.766666666666667,0,1,0,0,0,3
LookAhead,Primitive,CVM,1,20,10,20,20,2,30.4,584,5,5.999999999999999,0,1,0,0,0,3
LookAhead,Primitive,CVM,2,20,10,20,20,2,13.3,276,2,2.25,0,1,0,0,0,3
LookAhead,Primitive,CVM,3,20,10,20,20,2,42.1,806,6,8.633333333333335,1,0,0,0,0,1
LookAhead,Primitive,CVM,4,20,10,20,20,2,39.8,780,9,8.033333333333333,1,0,0,0,0,1
LookAhead,Primitive,CVM,0,20,10,20,40,2,24.8,778,4,6.000000000000001,1,0,0,0,0,1
LookAhead,Primitive,CVM,1,20,10,20,40,2,24.3,721,6,5.7,0,0,1,0,0,2
LookAhead,Primitive,CVM,2,20,10,20,40,2,30.5,758,7,6.785714285714286,1,0,0,0,0,1
LookAhead,Primitive,CVM,3,20,10,20,40,2,14.7,517,5,5.800000000000001,0,0,1,0,0,3
LookAhead,Primitive,CVM,4,20,10,20,40,2,8.6,332,1,2.1,0,0,1,0,0,3
LookAhead,Primitive,CVM,0,20,10,20,60,2,11.8,711,2,3.25,1,0,0,0,0,1
LookAhead,Primitive,CVM,1,20,10,20,60,2,9.7,514,7,2.714285714285715,0,0,1,0,0,2
LookAhead,Primitive,CVM,2,20,10,20,60,2,4.6000000000000005,258,1,0.9,0,1,0,0,0,3
LookAhead,Primitive,CVM,3,20,10,20,60,2,12.3,707,4,4.4,0,0,1,0,0,2
LookAhead,Primitive,CVM,4,20,10,20,60,2,12.1,706,4,3.95,1,0,0,0,0,1
LookAhead,Primitive,CVM,0,20,10,40,20,2,30.9,592,14,6.757142857142858,0,0,1,0,0,2
LookAhead,Primitive,CVM,1,20,10,40,20,2,13.4,290,1,0.2,0,0,1,0,0,3
LookAhead,Primitive,CVM,2,20,10,40,20,2,13.9,291,4,3.4000000000000004,0,0,1,0,0,3
LookAhead,Primitive,CVM,3,20,10,40,20,2,13.3,303,4,3.375,0,0,1,0,0,2
LookAhead,Primitive,CVM,4,20,10,40,20,2,9.3,167,5,3.56,0,0,1,0,0,2
LookAhead,Primitive,CVM,0,20,10,40,40,2,10.3,352,3,3.6,0,0,1,0,0,2
LookAhead,Primitive,CVM,1,20,10,40,40,2,40.0,940,11,6.945454545454546,1,0,0,0,0,1
LookAhead,Primitive,CVM,2,20,10,40,40,2,8.0,271,2,2.35,0,0,0,0,1,2
LookAhead,Primitive,CVM,3,20,10,40,40,2,7.9,275,3,2.4333333333333336,0,0,1,0,0,2
LookAhead,Primitive,CVM,4,20,10,40,40,2,20.700000000000003,747,10,5.83,1,0,0,0,0,1
LookAhead,Primitive,CVM,0,20,10,40,60,2,7.7,437,5,1.28,0,0,1,0,0,2
LookAhead,Primitive,CVM,1,20,10,40,60,2,6.300000000000001,368,3,1.5,0,0,1,0,0,2
LookAhead,Primitive,CVM,2,20,10,40,60,2,4.7,248,1,1.4,0,1,0,0,0,3
LookAhead,Primitive,CVM,3,20,10,40,60,2,3.9,235,2,1.2,0,0,1,0,0,2
LookAhead,Primitive,CVM,4,20,10,40,60,2,4.800000000000001,282,2,1.2000000000000002,0,0,1,0,0,2
LookAhead,Primitive,CVM,0,20,10,60,20,2,14.1,330,4,4.050000000000001,0,0,1,0,0,2
LookAhead,Primitive,CVM,1,20,10,60,20,2,11.8,254,5,2.22,0,0,1,0,0,2
LookAhead,Primitive,CVM,2,20,10,60,20,2,7.1000000000000005,160,1,1.2000000000000002,0,0,1,0,0,2
LookAhead,Primitive,CVM,3,20,10,60,20,2,20.200000000000003,432,12,4.75,0,0,1,0,0,2
LookAhead,Primitive,CVM,4,20,10,60,20,2,20.4,427,11,4.136363636363637,0,0,1,0,0,2
LookAhead,Primitive,CVM,0,20,10,60,40,2,8.3,253,6,3.2000000000000006,0,0,1,0,0,2
LookAhead,Primitive,CVM,1,20,10,60,40,2,13.8,463,4,3.25,0,0,1,0,0,2
LookAhead,Primitive,CVM,2,20,10,60,40,2,8.5,286,5,1.52,0,0,1,0,0,2
LookAhead,Primitive,CVM,3,20,10,60,40,2,6.300000000000001,237,3,1.0333333333333334,0,0,0,0,1,2
LookAhead,Primitive,CVM,4,20,10,60,40,2,3.3000000000000003,139,3,0.9666666666666668,0,0,1,0,0,2
LookAhead,Primitive,CVM,0,20,10,60,60,2,14.7,783,9,3.8777777777777778,1,0,0,0,0,1
LookAhead,Primitive,CVM,1,20,10,60,60,2,14.4,828,6,4.733333333333334,1,0,0,0,0,1
LookAhead,Primitive,CVM,2,20,10,60,60,2,6.6000000000000005,386,6,1.7500000000000002,0,0,1,0,0,2
LookAhead,Primitive,CVM,3,20,10,60,60,2,5.1000000000000005,279,3,1.4666666666666668,0,0,1,0,0,2
LookAhead,Primitive,CVM,4,20,10,60,60,2,7.800000000000001,439,6,3.5333333333333337,0,0,1,0,0,2
LookAhead,Primitive,CVM,0,30,10,20,20,2,21.1,425,5,7.260000000000001,0,1,0,0,0,3
LookAhead,Primitive,CVM,1,30,10,20,20,2,13.8,286,5,4.5200000000000005,0,0,0,0,1,2
LookAhead,Primitive,CVM,2,30,10,20,20,2,9.1,194,2,1.7000000000000002,0,0,0,0,1,2
LookAhead,Primitive,CVM,3,30,10,20,20,2,21.9,465,5,4.859999999999999,0,0,1,0,0,3
LookAhead,Primitive,CVM,4,30,10,20,20,2,7.1000000000000005,158,1,2.7,0,0,1,0,0,2
LookAhead,Primitive,CVM,0,30,10,20,40,2,8.700000000000001,300,2,2.5,0,0,1,0,0,2
LookAhead,Primitive,CVM,1,30,10,20,40,2,21.9,741,5,6.5600000000000005,1,0,0,0,0,1
LookAhead,Primitive,CVM,2,30,10,20,40,2,13.4,462,7,2.685714285714286,0,0,0,0,1,2
LookAhead,Primitive,CVM,3,30,10,20,40,2,10.9,390,6,3.15,0,0,1,0,0,3
LookAhead,Primitive,CVM,4,30,10,20,40,2,13.8,456,4,6.375000000000001,0,1,0,0,0,3
LookAhead,Primitive,CVM,0,30,10,20,60,2,11.4,635,3,3.233333333333334,0,1,0,0,0,3
LookAhead,Primitive,CVM,1,30,10,20,60,2,15.7,865,9,5.066666666666666,1,0,0,0,0,1
LookAhead,Primitive,CVM,2,30,10,20,60,2,13.9,483,12,5.05,0,1,0,0,0,3
LookAhead,Primitive,CVM,3,30,10,20,60,2,13.1,748,5,3.58,0,0,0,0,1,2
LookAhead,Primitive,CVM,4,30,10,20,60,2,15.7,882,8,4.1,1,0,0,0,0,1
LookAhead,Primitive,CVM,0,30,10,40,20,2,4.9,113,1,1.6,0,0,1,0,0,2
LookAhead,Primitive,CVM,1,30,10,40,20,2,14.1,292,7,4.2,0,0,1,0,0,2
LookAhead,Primitive,CVM,2,30,10,40,20,2,14.4,297,8,5.05,0,0,1,0,0,2
LookAhead,Primitive,CVM,3,30,10,40,20,2,13.7,318,4,4.1,0,0,1,0,0,3
LookAhead,Primitive,CVM,4,30,10,40,20,2,7.4,180,4,2.6500000000000004,0,0,1,0,0,3
LookAhead,Primitive,CVM,0,30,10,40,40,2,14.8,515,9,3.344444444444445,0,0,1,0,0,2
LookAhead,Primitive,CVM,1,30,10,40,40,2,7.1000000000000005,285,4,1.05,0,0,1,0,0,2
LookAhead,Primitive,CVM,2,30,10,40,40,2,4.9,192,1,1.3,0,0,1,0,0,2
LookAhead,Primitive,CVM,3,30,10,40,40,2,6.9,272,2,2.25,0,0,1,0,0,2
LookAhead,Primitive,CVM,4,30,10,40,40,2,3.8,142,2,1.1,0,0,0,0,1,2
LookAhead,Primitive,CVM,0,30,10,40,60,2,13.6,653,9,3.7000000000000006,0,0,1,0,0,2
